line 0: me: X, them: C me: Rock, them: Scissors value: 7
line 487: me: Z, them: C me: Scissors, them: Scissors value: 6
line 488: me: Y, them: B me: Paper, them: Paper value: 5
line 489: me: X, them: B me: Rock, them: Paper value: 1
line 490: me: Z, them: B me: Scissors, them: Paper value: 9
line 491: me: Y, them: A me: Paper, them: Rock value: 8
line 492: me: Z, them: A me: Scissors, them: Rock value: 3
line 493: me: X, them: C me: Rock, them: Scissors value: 7
line 494: me: Y, them: B me: Paper, them: Paper value: 5
line 495: me: Z, them: B me: Scissors, them: Paper value: 9
line 496: me: Y, them: B me: Paper, them: Paper value: 5
line 497: me: Z, them: B me: Scissors, them: Paper value: 9
line 498: me: Z, them: C me: Scissors, them: Scissors value: 6
line 499: me: Y, them: B me: Paper, them: Paper value: 5
line 500: me: Z, them: C me: Scissors, them: Scissors value: 6
line 501: me: Z, them: C me: Scissors, them: Scissors value: 6
line 502: me: Y, them: B me: Paper, them: Paper value: 5
line 503: me: X, them: B me: Rock, them: Paper value: 1
line 504: me: Z, them: B me: Scissors, them: Paper value: 9
line 505: me: X, them: C me: Rock, them: Scissors value: 7
line 506: me: Z, them: A me: Scissors, them: Rock value: 3
line 507: me: X, them: C me: Rock, them: Scissors value: 7
line 508: me: X, them: C me: Rock, them: Scissors value: 7
line 509: me: X, them: C me: Rock, them: Scissors value: 7
line 510: me: Z, them: A me: Scissors, them: Rock value: 3
line 511: me: Z, them: C me: Scissors, them: Scissors value: 6
line 512: me: Z, them: A me: Scissors, them: Rock value: 3
line 513: me: Z, them: C me: Scissors, them: Scissors value: 6
line 514: me: Y, them: A me: Paper, them: Rock value: 8
line 515: me: Y, them: C me: Paper, them: Scissors value: 2
line 516: me: Y, them: B me: Paper, them: Paper value: 5
line 517: me: Z, them: A me: Scissors, them: Rock value: 3
line 518: me: Y, them: B me: Paper, them: Paper value: 5
line 519: me: Z, them: C me: Scissors, them: Scissors value: 6
line 520: me: Z, them: A me: Scissors, them: Rock value: 3
line 521: me: Y, them: A me: Paper, them: Rock value: 8
line 522: me: X, them: B me: Rock, them: Paper value: 1
line 523: me: X, them: C me: Rock, them: Scissors value: 7
line 524: me: X, them: C me: Rock, them: Scissors value: 7
line 525: me: X, them: C me: Rock, them: Scissors value: 7
line 526: me: Z, them: C me: Scissors, them: Scissors value: 6
line 527: me: X, them: C me: Rock, them: Scissors value: 7
line 528: me: X, them: B me: Rock, them: Paper value: 1
line 529: me: Z, them: C me: Scissors, them: Scissors value: 6
line 530: me: Y, them: A me: Paper, them: Rock value: 8
line 531: me: Z, them: C me: Scissors, them: Scissors value: 6
line 532: me: X, them: A me: Rock, them: Rock value: 4
line 533: me: Y, them: B me: Paper, them: Paper value: 5
line 534: me: Z, them: B me: Scissors, them: Paper value: 9
line 535: me: Z, them: C me: Scissors, them: Scissors value: 6
line 536: me: Y, them: B me: Paper, them: Paper value: 5
line 537: me: Z, them: C me: Scissors, them: Scissors value: 6
line 538: me: X, them: B me: Rock, them: Paper value: 1
line 539: me: Y, them: B me: Paper, them: Paper value: 5
line 540: me: Z, them: C me: Scissors, them: Scissors value: 6
line 541: me: X, them: B me: Rock, them: Paper value: 1
line 542: me: Z, them: A me: Scissors, them: Rock value: 3
line 543: me: X, them: B me: Rock, them: Paper value: 1
line 544: me: Y, them: B me: Paper, them: Paper value: 5
line 545: me: Y, them: A me: Paper, them: Rock value: 8
line 546: me: Z, them: B me: Scissors, them: Paper value: 9
line 547: me: X, them: C me: Rock, them: Scissors value: 7
line 548: me: Z, them: C me: Scissors, them: Scissors value: 6
line 549: me: Z, them: A me: Scissors, them: Rock value: 3
line 550: me: Y, them: A me: Paper, them: Rock value: 8
line 551: me: Z, them: A me: Scissors, them: Rock value: 3
line 552: me: X, them: C me: Rock, them: Scissors value: 7
line 553: me: Z, them: C me: Scissors, them: Scissors value: 6
line 554: me: Z, them: B me: Scissors, them: Paper value: 9
line 555: me: Z, them: A me: Scissors, them: Rock value: 3
line 556: me: Z, them: A me: Scissors, them: Rock value: 3
line 557: me: X, them: C me: Rock, them: Scissors value: 7
line 558: me: Z, them: C me: Scissors, them: Scissors value: 6
line 559: me: X, them: C me: Rock, them: Scissors value: 7
line 560: me: X, them: C me: Rock, them: Scissors value: 7
line 561: me: Z, them: A me: Scissors, them: Rock value: 3
line 562: me: X, them: C me: Rock, them: Scissors value: 7
line 563: me: X, them: C me: Rock, them: Scissors value: 7
line 564: me: X, them: C me: Rock, them: Scissors value: 7
line 565: me: X, them: B me: Rock, them: Paper value: 1
line 566: me: Y, them: A me: Paper, them: Rock value: 8
line 567: me: Y, them: B me: Paper, them: Paper value: 5
line 568: me: X, them: B me: Rock, them: Paper value: 1
line 569: me: Y, them: B me: Paper, them: Paper value: 5
line 570: me: Z, them: C me: Scissors, them: Scissors value: 6
line 571: me: Y, them: B me: Paper, them: Paper value: 5
line 572: me: Z, them: B me: Scissors, them: Paper value: 9
line 573: me: Z, them: C me: Scissors, them: Scissors value: 6
line 574: me: X, them: C me: Rock, them: Scissors value: 7
line 575: me: Y, them: B me: Paper, them: Paper value: 5
line 576: me: Z, them: C me: Scissors, them: Scissors value: 6
line 577: me: Z, them: C me: Scissors, them: Scissors value: 6
line 578: me: Z, them: C me: Scissors, them: Scissors value: 6
line 579: me: Z, them: C me: Scissors, them: Scissors value: 6
line 580: me: Z, them: C me: Scissors, them: Scissors value: 6
line 581: me: Z, them: C me: Scissors, them: Scissors value: 6
line 582: me: Z, them: A me: Scissors, them: Rock value: 3
line 583: me: Z, them: A me: Scissors, them: Rock value: 3
line 584: me: Z, them: A me: Scissors, them: Rock value: 3
line 585: me: X, them: C me: Rock, them: Scissors value: 7
line 586: me: Z, them: C me: Scissors, them: Scissors value: 6
line 587: me: Y, them: B me: Paper, them: Paper value: 5
line 588: me: Z, them: C me: Scissors, them: Scissors value: 6
line 589: me: Z, them: C me: Scissors, them: Scissors value: 6
line 590: me: Z, them: C me: Scissors, them: Scissors value: 6
line 591: me: Z, them: C me: Scissors, them: Scissors value: 6
line 592: me: X, them: C me: Rock, them: Scissors value: 7
line 593: me: X, them: C me: Rock, them: Scissors value: 7
line 594: me: Z, them: A me: Scissors, them: Rock value: 3
line 595: me: Y, them: B me: Paper, them: Paper value: 5
line 596: me: Z, them: A me: Scissors, them: Rock value: 3
line 597: me: Z, them: B me: Scissors, them: Paper value: 9
line 598: me: X, them: C me: Rock, them: Scissors value: 7
line 599: me: X, them: C me: Rock, them: Scissors value: 7
line 600: me: Z, them: C me: Scissors, them: Scissors value: 6
line 601: me: Z, them: C me: Scissors, them: Scissors value: 6
line 602: me: X, them: C me: Rock, them: Scissors value: 7
line 603: me: Y, them: A me: Paper, them: Rock value: 8
line 604: me: X, them: C me: Rock, them: Scissors value: 7
line 605: me: Y, them: A me: Paper, them: Rock value: 8
line 606: me: Z, them: C me: Scissors, them: Scissors value: 6
line 607: me: Z, them: A me: Scissors, them: Rock value: 3
line 608: me: Z, them: C me: Scissors, them: Scissors value: 6
line 609: me: X, them: B me: Rock, them: Paper value: 1
line 610: me: Z, them: C me: Scissors, them: Scissors value: 6
line 611: me: Z, them: C me: Scissors, them: Scissors value: 6
line 612: me: X, them: C me: Rock, them: Scissors value: 7
line 613: me: X, them: C me: Rock, them: Scissors value: 7
line 614: me: Z, them: C me: Scissors, them: Scissors value: 6
line 615: me: Z, them: B me: Scissors, them: Paper value: 9
line 616: me: Y, them: A me: Paper, them: Rock value: 8
line 617: me: X, them: B me: Rock, them: Paper value: 1
line 618: me: Y, them: A me: Paper, them: Rock value: 8
line 619: me: Y, them: B me: Paper, them: Paper value: 5
line 620: me: Y, them: A me: Paper, them: Rock value: 8
line 621: me: Z, them: A me: Scissors, them: Rock value: 3
line 622: me: Z, them: A me: Scissors, them: Rock value: 3
line 623: me: Z, them: C me: Scissors, them: Scissors value: 6
line 624: me: X, them: B me: Rock, them: Paper value: 1
line 625: me: Z, them: C me: Scissors, them: Scissors value: 6
line 626: me: X, them: C me: Rock, them: Scissors value: 7
line 627: me: Z, them: C me: Scissors, them: Scissors value: 6
line 628: me: Z, them: C me: Scissors, them: Scissors value: 6
line 629: me: Z, them: A me: Scissors, them: Rock value: 3
line 630: me: X, them: C me: Rock, them: Scissors value: 7
line 631: me: Y, them: A me: Paper, them: Rock value: 8
line 632: me: X, them: C me: Rock, them: Scissors value: 7
line 633: me: Z, them: A me: Scissors, them: Rock value: 3
line 634: me: Z, them: C me: Scissors, them: Scissors value: 6
line 635: me: X, them: C me: Rock, them: Scissors value: 7
line 636: me: Z, them: C me: Scissors, them: Scissors value: 6
line 637: me: Z, them: A me: Scissors, them: Rock value: 3
line 638: me: X, them: C me: Rock, them: Scissors value: 7
line 639: me: X, them: C me: Rock, them: Scissors value: 7
line 640: me: X, them: C me: Rock, them: Scissors value: 7
line 641: me: X, them: C me: Rock, them: Scissors value: 7
line 642: me: X, them: B me: Rock, them: Paper value: 1
line 643: me: Y, them: B me: Paper, them: Paper value: 5
line 644: me: X, them: C me: Rock, them: Scissors value: 7
line 645: me: Z, them: C me: Scissors, them: Scissors value: 6
line 646: me: Z, them: C me: Scissors, them: Scissors value: 6
line 647: me: Z, them: C me: Scissors, them: Scissors value: 6
line 648: me: Z, them: C me: Scissors, them: Scissors value: 6
line 649: me: Z, them: A me: Scissors, them: Rock value: 3
line 650: me: Z, them: A me: Scissors, them: Rock value: 3
line 651: me: Y, them: A me: Paper, them: Rock value: 8
line 652: me: Z, them: C me: Scissors, them: Scissors value: 6
line 653: me: X, them: C me: Rock, them: Scissors value: 7
line 654: me: Z, them: C me: Scissors, them: Scissors value: 6
line 655: me: Z, them: C me: Scissors, them: Scissors value: 6
line 656: me: Z, them: C me: Scissors, them: Scissors value: 6
line 657: me: Y, them: A me: Paper, them: Rock value: 8
line 658: me: X, them: C me: Rock, them: Scissors value: 7
line 659: me: Z, them: A me: Scissors, them: Rock value: 3
line 660: me: Y, them: C me: Paper, them: Scissors value: 2
line 661: me: Z, them: A me: Scissors, them: Rock value: 3
line 662: me: Z, them: C me: Scissors, them: Scissors value: 6
line 663: me: X, them: C me: Rock, them: Scissors value: 7
line 664: me: Y, them: A me: Paper, them: Rock value: 8
line 665: me: Z, them: C me: Scissors, them: Scissors value: 6
line 666: me: X, them: C me: Rock, them: Scissors value: 7
line 667: me: X, them: C me: Rock, them: Scissors value: 7
line 668: me: Z, them: A me: Scissors, them: Rock value: 3
line 669: me: Y, them: B me: Paper, them: Paper value: 5
line 670: me: Z, them: C me: Scissors, them: Scissors value: 6
line 671: me: Z, them: A me: Scissors, them: Rock value: 3
line 672: me: Z, them: C me: Scissors, them: Scissors value: 6
line 673: me: Z, them: C me: Scissors, them: Scissors value: 6
line 674: me: Z, them: C me: Scissors, them: Scissors value: 6
line 675: me: Y, them: B me: Paper, them: Paper value: 5
line 676: me: X, them: C me: Rock, them: Scissors value: 7
line 677: me: X, them: C me: Rock, them: Scissors value: 7
line 678: me: X, them: A me: Rock, them: Rock value: 4
line 679: me: Y, them: A me: Paper, them: Rock value: 8
line 680: me: Z, them: C me: Scissors, them: Scissors value: 6
line 681: me: Z, them: A me: Scissors, them: Rock value: 3
line 682: me: Z, them: C me: Scissors, them: Scissors value: 6
line 683: me: Y, them: B me: Paper, them: Paper value: 5
line 684: me: X, them: C me: Rock, them: Scissors value: 7
line 685: me: X, them: B me: Rock, them: Paper value: 1
line 686: me: X, them: C me: Rock, them: Scissors value: 7
line 687: me: X, them: C me: Rock, them: Scissors value: 7
line 688: me: Y, them: A me: Paper, them: Rock value: 8
line 689: me: Z, them: C me: Scissors, them: Scissors value: 6
line 690: me: Z, them: C me: Scissors, them: Scissors value: 6
line 691: me: Z, them: C me: Scissors, them: Scissors value: 6
line 692: me: X, them: C me: Rock, them: Scissors value: 7
line 693: me: Z, them: A me: Scissors, them: Rock value: 3
line 694: me: Y, them: B me: Paper, them: Paper value: 5
line 695: me: Y, them: A me: Paper, them: Rock value: 8
line 696: me: Z, them: B me: Scissors, them: Paper value: 9
line 697: me: Z, them: B me: Scissors, them: Paper value: 9
line 698: me: X, them: B me: Rock, them: Paper value: 1
line 699: me: Z, them: A me: Scissors, them: Rock value: 3
line 700: me: X, them: B me: Rock, them: Paper value: 1
line 701: me: X, them: B me: Rock, them: Paper value: 1
line 702: me: Z, them: A me: Scissors, them: Rock value: 3
line 703: me: Z, them: A me: Scissors, them: Rock value: 3
line 704: me: Y, them: C me: Paper, them: Scissors value: 2
line 705: me: Y, them: B me: Paper, them: Paper value: 5
line 706: me: Z, them: C me: Scissors, them: Scissors value: 6
line 707: me: X, them: A me: Rock, them: Rock value: 4
line 708: me: Z, them: C me: Scissors, them: Scissors value: 6
line 709: me: X, them: B me: Rock, them: Paper value: 1
line 710: me: Z, them: C me: Scissors, them: Scissors value: 6
line 711: me: Y, them: A me: Paper, them: Rock value: 8
line 712: me: Y, them: A me: Paper, them: Rock value: 8
line 713: me: Z, them: C me: Scissors, them: Scissors value: 6
line 714: me: Z, them: C me: Scissors, them: Scissors value: 6
line 715: me: Z, them: A me: Scissors, them: Rock value: 3
line 716: me: Y, them: B me: Paper, them: Paper value: 5
line 717: me: Z, them: C me: Scissors, them: Scissors value: 6
line 718: me: Z, them: C me: Scissors, them: Scissors value: 6
line 719: me: Z, them: C me: Scissors, them: Scissors value: 6
line 720: me: X, them: C me: Rock, them: Scissors value: 7
line 721: me: Y, them: A me: Paper, them: Rock value: 8
line 722: me: X, them: C me: Rock, them: Scissors value: 7
line 723: me: Y, them: B me: Paper, them: Paper value: 5
line 724: me: Y, them: B me: Paper, them: Paper value: 5
line 725: me: X, them: C me: Rock, them: Scissors value: 7
line 726: me: Z, them: C me: Scissors, them: Scissors value: 6
line 727: me: X, them: C me: Rock, them: Scissors value: 7
line 728: me: X, them: B me: Rock, them: Paper value: 1
line 729: me: Y, them: A me: Paper, them: Rock value: 8
line 730: me: Y, them: A me: Paper, them: Rock value: 8
line 731: me: Z, them: C me: Scissors, them: Scissors value: 6
line 732: me: Z, them: C me: Scissors, them: Scissors value: 6
line 733: me: Z, them: C me: Scissors, them: Scissors value: 6
line 734: me: Z, them: C me: Scissors, them: Scissors value: 6
line 735: me: Z, them: C me: Scissors, them: Scissors value: 6
line 736: me: X, them: B me: Rock, them: Paper value: 1
line 737: me: Z, them: C me: Scissors, them: Scissors value: 6
line 738: me: Y, them: A me: Paper, them: Rock value: 8
line 739: me: X, them: B me: Rock, them: Paper value: 1
line 740: me: Y, them: A me: Paper, them: Rock value: 8
line 741: me: Z, them: A me: Scissors, them: Rock value: 3
line 742: me: Z, them: C me: Scissors, them: Scissors value: 6
line 743: me: X, them: C me: Rock, them: Scissors value: 7
line 744: me: Y, them: B me: Paper, them: Paper value: 5
line 745: me: Y, them: B me: Paper, them: Paper value: 5
line 746: me: Z, them: C me: Scissors, them: Scissors value: 6
line 747: me: Z, them: C me: Scissors, them: Scissors value: 6
line 748: me: Z, them: C me: Scissors, them: Scissors value: 6
line 749: me: Y, them: B me: Paper, them: Paper value: 5
line 750: me: X, them: C me: Rock, them: Scissors value: 7
line 751: me: Y, them: B me: Paper, them: Paper value: 5
line 752: me: Y, them: A me: Paper, them: Rock value: 8
line 753: me: X, them: B me: Rock, them: Paper value: 1
line 754: me: Z, them: C me: Scissors, them: Scissors value: 6
line 755: me: Z, them: C me: Scissors, them: Scissors value: 6
line 756: me: Y, them: A me: Paper, them: Rock value: 8
line 757: me: X, them: C me: Rock, them: Scissors value: 7
line 758: me: Z, them: C me: Scissors, them: Scissors value: 6
line 759: me: Y, them: A me: Paper, them: Rock value: 8
line 760: me: X, them: C me: Rock, them: Scissors value: 7
line 761: me: X, them: C me: Rock, them: Scissors value: 7
line 762: me: Z, them: A me: Scissors, them: Rock value: 3
line 763: me: Z, them: C me: Scissors, them: Scissors value: 6
line 764: me: X, them: B me: Rock, them: Paper value: 1
line 765: me: Z, them: A me: Scissors, them: Rock value: 3
line 766: me: Y, them: B me: Paper, them: Paper value: 5
line 767: me: Z, them: C me: Scissors, them: Scissors value: 6
line 768: me: Z, them: A me: Scissors, them: Rock value: 3
line 769: me: X, them: B me: Rock, them: Paper value: 1
line 770: me: Z, them: C me: Scissors, them: Scissors value: 6
line 771: me: Y, them: B me: Paper, them: Paper value: 5
line 772: me: Z, them: C me: Scissors, them: Scissors value: 6
line 773: me: Y, them: B me: Paper, them: Paper value: 5
line 774: me: X, them: C me: Rock, them: Scissors value: 7
line 775: me: Z, them: C me: Scissors, them: Scissors value: 6
line 776: me: X, them: B me: Rock, them: Paper value: 1
line 777: me: X, them: C me: Rock, them: Scissors value: 7
line 778: me: Y, them: B me: Paper, them: Paper value: 5
line 779: me: X, them: C me: Rock, them: Scissors value: 7
line 780: me: Y, them: A me: Paper, them: Rock value: 8
line 781: me: Z, them: C me: Scissors, them: Scissors value: 6
line 782: me: Z, them: C me: Scissors, them: Scissors value: 6
line 783: me: X, them: C me: Rock, them: Scissors value: 7
line 784: me: Y, them: B me: Paper, them: Paper value: 5
line 785: me: X, them: C me: Rock, them: Scissors value: 7
line 786: me: Z, them: C me: Scissors, them: Scissors value: 6
line 787: me: X, them: C me: Rock, them: Scissors value: 7
line 788: me: Z, them: C me: Scissors, them: Scissors value: 6
line 789: me: Z, them: A me: Scissors, them: Rock value: 3
line 790: me: Y, them: A me: Paper, them: Rock value: 8
line 791: me: X, them: C me: Rock, them: Scissors value: 7
line 792: me: Z, them: C me: Scissors, them: Scissors value: 6
line 793: me: Z, them: C me: Scissors, them: Scissors value: 6
line 794: me: Z, them: A me: Scissors, them: Rock value: 3
line 795: me: X, them: C me: Rock, them: Scissors value: 7
line 796: me: Z, them: B me: Scissors, them: Paper value: 9
line 797: me: Z, them: A me: Scissors, them: Rock value: 3
line 798: me: Y, them: B me: Paper, them: Paper value: 5
line 799: me: X, them: C me: Rock, them: Scissors value: 7
line 800: me: Z, them: A me: Scissors, them: Rock value: 3
line 801: me: Z, them: C me: Scissors, them: Scissors value: 6
line 802: me: Y, them: B me: Paper, them: Paper value: 5
line 803: me: X, them: C me: Rock, them: Scissors value: 7
line 804: me: X, them: C me: Rock, them: Scissors value: 7
line 805: me: Z, them: C me: Scissors, them: Scissors value: 6
line 806: me: Z, them: C me: Scissors, them: Scissors value: 6
line 807: me: Y, them: B me: Paper, them: Paper value: 5
line 808: me: Z, them: A me: Scissors, them: Rock value: 3
line 809: me: Z, them: C me: Scissors, them: Scissors value: 6
line 810: me: X, them: C me: Rock, them: Scissors value: 7
line 811: me: Z, them: C me: Scissors, them: Scissors value: 6
line 812: me: Z, them: A me: Scissors, them: Rock value: 3
line 813: me: X, them: C me: Rock, them: Scissors value: 7
line 814: me: Z, them: A me: Scissors, them: Rock value: 3
line 815: me: Z, them: C me: Scissors, them: Scissors value: 6
line 816: me: X, them: C me: Rock, them: Scissors value: 7
line 817: me: X, them: C me: Rock, them: Scissors value: 7
line 818: me: Z, them: C me: Scissors, them: Scissors value: 6
line 819: me: X, them: B me: Rock, them: Paper value: 1
line 820: me: Z, them: C me: Scissors, them: Scissors value: 6
line 821: me: Z, them: C me: Scissors, them: Scissors value: 6
line 822: me: Z, them: C me: Scissors, them: Scissors value: 6
line 823: me: Y, them: B me: Paper, them: Paper value: 5
line 824: me: X, them: A me: Rock, them: Rock value: 4
line 825: me: Y, them: B me: Paper, them: Paper value: 5
line 826: me: X, them: C me: Rock, them: Scissors value: 7
line 827: me: Z, them: A me: Scissors, them: Rock value: 3
line 828: me: X, them: B me: Rock, them: Paper value: 1
line 829: me: Z, them: A me: Scissors, them: Rock value: 3
line 830: me: Z, them: C me: Scissors, them: Scissors value: 6
line 831: me: X, them: C me: Rock, them: Scissors value: 7
line 832: me: Z, them: C me: Scissors, them: Scissors value: 6
line 833: me: Z, them: C me: Scissors, them: Scissors value: 6
line 834: me: Y, them: B me: Paper, them: Paper value: 5
line 835: me: X, them: B me: Rock, them: Paper value: 1
line 836: me: Z, them: C me: Scissors, them: Scissors value: 6
line 837: me: Z, them: B me: Scissors, them: Paper value: 9
line 838: me: Y, them: B me: Paper, them: Paper value: 5
line 839: me: X, them: B me: Rock, them: Paper value: 1
line 840: me: X, them: C me: Rock, them: Scissors value: 7
line 841: me: X, them: C me: Rock, them: Scissors value: 7
line 842: me: X, them: C me: Rock, them: Scissors value: 7
line 843: me: Z, them: C me: Scissors, them: Scissors value: 6
line 844: me: Y, them: B me: Paper, them: Paper value: 5
line 845: me: Z, them: C me: Scissors, them: Scissors value: 6
line 846: me: Z, them: C me: Scissors, them: Scissors value: 6
line 847: me: Z, them: C me: Scissors, them: Scissors value: 6
line 848: me: Z, them: C me: Scissors, them: Scissors value: 6
line 849: me: Z, them: C me: Scissors, them: Scissors value: 6
line 850: me: Z, them: C me: Scissors, them: Scissors value: 6
line 851: me: X, them: C me: Rock, them: Scissors value: 7
line 852: me: Z, them: C me: Scissors, them: Scissors value: 6
line 853: me: Y, them: A me: Paper, them: Rock value: 8
line 854: me: X, them: C me: Rock, them: Scissors value: 7
line 855: me: X, them: B me: Rock, them: Paper value: 1
line 856: me: Y, them: A me: Paper, them: Rock value: 8
line 857: me: X, them: C me: Rock, them: Scissors value: 7
line 858: me: X, them: C me: Rock, them: Scissors value: 7
line 859: me: Z, them: C me: Scissors, them: Scissors value: 6
line 860: me: Z, them: C me: Scissors, them: Scissors value: 6
line 861: me: X, them: C me: Rock, them: Scissors value: 7
line 862: me: X, them: B me: Rock, them: Paper value: 1
line 863: me: Y, them: B me: Paper, them: Paper value: 5
line 864: me: Y, them: B me: Paper, them: Paper value: 5
line 865: me: Z, them: C me: Scissors, them: Scissors value: 6
line 866: me: X, them: B me: Rock, them: Paper value: 1
line 867: me: X, them: C me: Rock, them: Scissors value: 7
line 868: me: X, them: C me: Rock, them: Scissors value: 7
line 869: me: Z, them: C me: Scissors, them: Scissors value: 6
line 870: me: Z, them: C me: Scissors, them: Scissors value: 6
line 871: me: Y, them: A me: Paper, them: Rock value: 8
line 872: me: Z, them: C me: Scissors, them: Scissors value: 6
line 873: me: Y, them: A me: Paper, them: Rock value: 8
line 874: me: Z, them: C me: Scissors, them: Scissors value: 6
line 875: me: Z, them: C me: Scissors, them: Scissors value: 6
line 876: me: Y, them: B me: Paper, them: Paper value: 5
line 877: me: Z, them: A me: Scissors, them: Rock value: 3
line 878: me: X, them: B me: Rock, them: Paper value: 1
line 879: me: X, them: B me: Rock, them: Paper value: 1
line 880: me: Z, them: C me: Scissors, them: Scissors value: 6
line 881: me: Z, them: C me: Scissors, them: Scissors value: 6
line 882: me: Y, them: A me: Paper, them: Rock value: 8
line 883: me: Y, them: A me: Paper, them: Rock value: 8
line 884: me: Z, them: C me: Scissors, them: Scissors value: 6
line 885: me: Z, them: C me: Scissors, them: Scissors value: 6
line 886: me: X, them: C me: Rock, them: Scissors value: 7
line 887: me: Y, them: A me: Paper, them: Rock value: 8
line 888: me: Y, them: A me: Paper, them: Rock value: 8
line 889: me: Z, them: C me: Scissors, them: Scissors value: 6
line 890: me: Z, them: A me: Scissors, them: Rock value: 3
line 891: me: X, them: C me: Rock, them: Scissors value: 7
line 892: me: Z, them: B me: Scissors, them: Paper value: 9
line 893: me: Y, them: A me: Paper, them: Rock value: 8
line 894: me: X, them: C me: Rock, them: Scissors value: 7
line 895: me: Z, them: B me: Scissors, them: Paper value: 9
line 896: me: Y, them: A me: Paper, them: Rock value: 8
line 897: me: X, them: C me: Rock, them: Scissors value: 7
line 898: me: Y, them: B me: Paper, them: Paper value: 5
line 899: me: X, them: C me: Rock, them: Scissors value: 7
line 900: me: X, them: C me: Rock, them: Scissors value: 7
line 901: me: Z, them: C me: Scissors, them: Scissors value: 6
line 902: me: X, them: A me: Rock, them: Rock value: 4
line 903: me: Y, them: C me: Paper, them: Scissors value: 2
line 904: me: Y, them: A me: Paper, them: Rock value: 8
line 905: me: Z, them: B me: Scissors, them: Paper value: 9
line 906: me: Y, them: B me: Paper, them: Paper value: 5
line 907: me: X, them: A me: Rock, them: Rock value: 4
line 908: me: Y, them: B me: Paper, them: Paper value: 5
line 909: me: Z, them: A me: Scissors, them: Rock value: 3
line 910: me: Z, them: C me: Scissors, them: Scissors value: 6
line 911: me: X, them: C me: Rock, them: Scissors value: 7
line 912: me: X, them: C me: Rock, them: Scissors value: 7
line 913: me: X, them: C me: Rock, them: Scissors value: 7
line 914: me: Y, them: C me: Paper, them: Scissors value: 2
line 915: me: Y, them: B me: Paper, them: Paper value: 5
line 916: me: Z, them: C me: Scissors, them: Scissors value: 6
line 917: me: Z, them: A me: Scissors, them: Rock value: 3
line 918: me: X, them: C me: Rock, them: Scissors value: 7
line 919: me: X, them: C me: Rock, them: Scissors value: 7
line 920: me: Z, them: C me: Scissors, them: Scissors value: 6
line 921: me: Z, them: C me: Scissors, them: Scissors value: 6
line 922: me: X, them: C me: Rock, them: Scissors value: 7
line 923: me: Z, them: C me: Scissors, them: Scissors value: 6
line 924: me: Y, them: B me: Paper, them: Paper value: 5
line 925: me: Z, them: C me: Scissors, them: Scissors value: 6
line 926: me: X, them: C me: Rock, them: Scissors value: 7
line 927: me: Y, them: B me: Paper, them: Paper value: 5
line 928: me: Z, them: A me: Scissors, them: Rock value: 3
line 929: me: X, them: C me: Rock, them: Scissors value: 7
line 930: me: Y, them: B me: Paper, them: Paper value: 5
line 931: me: Z, them: C me: Scissors, them: Scissors value: 6
line 932: me: X, them: C me: Rock, them: Scissors value: 7
line 933: me: Y, them: B me: Paper, them: Paper value: 5
line 934: me: Z, them: A me: Scissors, them: Rock value: 3
line 935: me: X, them: B me: Rock, them: Paper value: 1
line 936: me: Z, them: C me: Scissors, them: Scissors value: 6
line 937: me: X, them: B me: Rock, them: Paper value: 1
line 938: me: X, them: B me: Rock, them: Paper value: 1
line 939: me: Z, them: C me: Scissors, them: Scissors value: 6
line 940: me: Z, them: C me: Scissors, them: Scissors value: 6
line 941: me: X, them: C me: Rock, them: Scissors value: 7
line 942: me: Y, them: B me: Paper, them: Paper value: 5
line 943: me: Y, them: A me: Paper, them: Rock value: 8
line 944: me: X, them: B me: Rock, them: Paper value: 1
line 945: me: X, them: B me: Rock, them: Paper value: 1
line 946: me: Y, them: A me: Paper, them: Rock value: 8
line 947: me: Y, them: B me: Paper, them: Paper value: 5
line 948: me: Y, them: B me: Paper, them: Paper value: 5
line 949: me: X, them: B me: Rock, them: Paper value: 1
line 950: me: Z, them: A me: Scissors, them: Rock value: 3
line 951: me: Y, them: A me: Paper, them: Rock value: 8
line 952: me: Z, them: C me: Scissors, them: Scissors value: 6
line 953: me: Y, them: B me: Paper, them: Paper value: 5
line 954: me: Z, them: C me: Scissors, them: Scissors value: 6
line 955: me: Z, them: A me: Scissors, them: Rock value: 3
line 956: me: Z, them: C me: Scissors, them: Scissors value: 6
line 957: me: X, them: C me: Rock, them: Scissors value: 7
line 958: me: Z, them: A me: Scissors, them: Rock value: 3
line 959: me: X, them: C me: Rock, them: Scissors value: 7
line 960: me: Z, them: C me: Scissors, them: Scissors value: 6
line 961: me: X, them: C me: Rock, them: Scissors value: 7
line 962: me: Y, them: B me: Paper, them: Paper value: 5
line 963: me: X, them: C me: Rock, them: Scissors value: 7
line 964: me: Z, them: A me: Scissors, them: Rock value: 3
line 965: me: X, them: B me: Rock, them: Paper value: 1
line 966: me: Z, them: C me: Scissors, them: Scissors value: 6
line 967: me: X, them: C me: Rock, them: Scissors value: 7
line 968: me: X, them: C me: Rock, them: Scissors value: 7
line 969: me: Y, them: B me: Paper, them: Paper value: 5
line 970: me: Y, them: A me: Paper, them: Rock value: 8
line 971: me: Z, them: C me: Scissors, them: Scissors value: 6
line 972: me: X, them: C me: Rock, them: Scissors value: 7
line 973: me: Y, them: A me: Paper, them: Rock value: 8
